subtype,country,rate_pre,rate_post,rate_ratio,rate_diff,se_diff,p_value,n_pre,n_post,r_squared,log_rate_ratio
RSV-A,Argentina,0.001292074692536973,0.0041759871967985305,3.232001385770532,0.0028839125042615576,0.00664659526917703,0.6651021818002595,117,14,0.040678576291205186,1.1731015694243918
RSV-A,Australia,0.002984477284291835,-0.0017141652139024642,-0.5743602817567453,-0.0046986424981942995,0.00415871415993041,0.2601027098767916,124,54,0.24905067765878816,NA
RSV-A,France,0.0023847636512815836,0.01707391452242858,7.159583513969182,0.014689150871146995,0.015844397516537417,0.35472125236661,16,254,0.006587649436752231,1.9684518108406466
RSV-A,Germany,0.003599802214029314,0.015711629269037842,4.364581256105061,0.012111827055008528,0.004004045205455761,0.0028905946495216706,144,23,0.5007159157478469,1.4735222525259921
RSV-A,Ireland,-0.0630644488644445,0.007621319986716223,-0.12084970413517869,0.07068576885116072,0.019901250566882547,5.028242793969787e-4,36,128,0.07113805226854535,NA
RSV-A,Japan,-0.0015341551365174737,0.009089261311414167,-5.924603773805272,0.01062341644793164,0.00936931783385815,0.25889639638372747,114,23,0.0011289684871759902,NA
RSV-A,Spain,0.0032170252120322746,-0.0013899829026831148,-0.4320708763749564,-0.004607008114715389,0.0010515566526989738,2.1499642151128098e-5,91,70,0.6203902714624127,NA
RSV-A,USA,3.1209415273589697e-4,0.0015315237865868544,4.90724921681847,0.0012194296338509574,0.0024232599824131613,0.6154657759804278,65,108,0.026739027890589854,1.590713543838981
RSV-B,Argentina,0.0064098542638043095,-0.0027567406167456963,-0.43007851712209516,-0.009166594880550006,0.016937335365842163,0.5891042065969478,122,45,0.6421801971454839,NA
RSV-B,Australia,0.0027585125493295062,-3.856856490983711e-4,-0.13981652872745395,-0.0031441981984278774,0.003975363179327716,0.43035717530831685,99,42,0.3144071747852054,NA
RSV-B,France,0.013620999342940553,-0.006080453477277693,-0.4464028904332229,-0.019701452820218245,0.033049207400461786,0.5538927887630232,6,46,0.007543400483958684,NA
RSV-B,Germany,0.003253567303518181,0.02933453641711632,9.016114830449641,0.026080969113598137,0.013952558730843853,0.06392660132208498,121,8,0.2616384208318206,2.1990135129529134
RSV-B,Ireland,-0.0026825525776727793,0.001127754445974519,-0.4204034826235878,0.0038103070236472983,0.01661466524616185,0.8189370418122783,50,97,0.05635049426780202,NA
RSV-B,Japan,-4.403637428798352e-4,0.0072410376322834865,-16.44331021652569,0.0076814013751633214,0.006764936099644455,0.2577849954277394,160,13,0.003208636723983509,NA
RSV-B,Spain,-8.624800651310573e-4,0.0021870504726753327,-2.535769301917722,0.00304953053780639,0.001590954489535586,0.0573772867783506,62,77,0.02009832465844271,NA
RSV-B,Switzerland,0.0028148302460311945,0.0032150821443950703,1.1421939738384637,4.002518983638758e-4,0.003001288601765687,0.8942276395890718,14,74,0.07861659375085428,0.13295095130970658
RSV-B,USA,-0.007155596873613706,8.953230000543045e-4,-0.1251220570230573,0.00805091987366801,0.0027143651905947035,0.0035906892466735386,30,104,0.2537059613767827,NA
